question_id,incomplete_correct,full_correct,paired_difference
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,False,False,0.0
