schema_version,question_id,qa_pair_id,question_ordinal,hop_index,gold_hop_count,gold_statement,gold_raw_fact,gold_serial_number,acquired_by_read,first_read_action_state,first_available_decision_state,matching_read_memory_ids,official_gold_lww_conflicted
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,factconsolidation_mh_262k_no5,5,2,4,Les Moonves is married to Louis Aragon,12849. Les Moonves is married to Louis Aragon.,12849,True,4,5,"[""m-d8939565b192098f7742417a""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,factconsolidation_mh_262k_no5,5,3,4,Louis Aragon is a citizen of Italy,12744. Louis Aragon is a citizen of Italy.,12744,True,4,5,"[""m-d8939565b192098f7742417a""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,factconsolidation_mh_262k_no5,5,4,4,The official language of Italy is Walloon,8583. The official language of Italy is Walloon.,8583,True,4,5,"[""m-aff4df280c82222c41cd9dbd""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,factconsolidation_mh_262k_no6,6,1,2,Melvil Dewey is famous for Dewey Decimal Classification,11551. Melvil Dewey is famous for Dewey Decimal Classification.,11551,True,2,3,"[""m-ae3c59715d1425023fba9b40""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,factconsolidation_mh_262k_no6,6,2,2,Dewey Decimal Classification was written in the language of Italian,7738. Dewey Decimal Classification was written in the language of Italian.,7738,True,2,3,"[""m-e83f38f2c761aa5a2f5c0f21""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,factconsolidation_mh_262k_no7,7,1,4,Revolver was performed by Madonna,11307. Revolver was performed by Madonna.,11307,True,3,4,"[""m-323e3517faf8135a089224ca""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,factconsolidation_mh_262k_no7,7,2,4,The director of Madonna is Narendra Modi,12455. The director of Madonna is Narendra Modi.,12455,True,3,4,"[""m-b4f7617ddfde634fb0ac7372""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,factconsolidation_mh_262k_no7,7,3,4,Narendra Modi is a citizen of Australia,12321. Narendra Modi is a citizen of Australia.,12321,True,10,11,"[""m-f41ccd0cde28da235a2664ef""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,factconsolidation_mh_262k_no7,7,4,4,The official language of Australia is Arabic,17385. The official language of Australia is Arabic.,17385,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,factconsolidation_mh_262k_no8,8,1,2,The author of Measure for Measure is William Shakespeare,13949. The author of Measure for Measure is William Shakespeare.,13949,True,2,3,"[""m-621e3928a351e7bbd9e11337""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,factconsolidation_mh_262k_no8,8,2,2,The univeristy where William Shakespeare was educated is University of Oxford,14246. The univeristy where William Shakespeare was educated is University of Oxford.,14246,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,factconsolidation_mh_262k_no9,9,1,3,The headquarters of FC Viikingit is located in the city of Helsinki,1153. The headquarters of FC Viikingit is located in the city of Helsinki.,1153,True,2,3,"[""m-8e14b81f299884f04aa016ff""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,factconsolidation_mh_262k_no9,9,2,3,The official language of Helsinki is Esperanto,9546. The official language of Helsinki is Esperanto.,9546,True,4,5,"[""m-8988c2999d80d11c33dcaf06""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,factconsolidation_mh_262k_no9,9,3,3,Esperanto was created by L. L. Zamenhof,1514. Esperanto was created by L. L. Zamenhof.,1514,True,6,7,"[""m-9775f81addddef3bf5347951""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,factconsolidation_mh_262k_no10,10,1,4,Visual Basic .NET was developed by Lenovo,10392. Visual Basic .NET was developed by Lenovo.,10392,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,factconsolidation_mh_262k_no10,10,2,4,The chief executive officer of Lenovo is Elon Musk,13881. The chief executive officer of Lenovo is Elon Musk.,13881,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,factconsolidation_mh_262k_no10,10,3,4,Elon Musk was born in the city of New Zealand,14913. Elon Musk was born in the city of New Zealand.,14913,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,factconsolidation_mh_262k_no10,10,4,4,New Zealand is located in the continent of Oceania,10006. New Zealand is located in the continent of Oceania.,10006,True,7,8,"[""m-1d5745d8b432a6047b4dd936""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,factconsolidation_mh_262k_no11,11,1,3,Giulio Alberoni is affiliated with the religion of Methodism,15041. Giulio Alberoni is affiliated with the religion of Methodism.,15041,True,3,4,"[""m-edc48416279cf33fce68c421""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,factconsolidation_mh_262k_no11,11,2,3,Methodism was founded by John Wesley,6850. Methodism was founded by John Wesley.,6850,True,3,4,"[""m-971985574eb04740c13ad5c1""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,factconsolidation_mh_262k_no11,11,3,3,John Wesley was born in the city of Epworth,2049. John Wesley was born in the city of Epworth.,2049,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,factconsolidation_mh_262k_no12,12,1,2,The origianl broadcaster of Adventures in Paradise is WTTW,15213. The origianl broadcaster of Adventures in Paradise is WTTW.,15213,True,2,3,"[""m-25705ac9d5e8865bd0ef9821""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,factconsolidation_mh_262k_no12,12,2,2,The headquarters of WTTW is located in the city of Knoxville,13379. The headquarters of WTTW is located in the city of Knoxville.,13379,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,factconsolidation_mh_262k_no13,13,1,2,Miley Stewart was performed by John Lennon,11396. Miley Stewart was performed by John Lennon.,11396,True,2,3,"[""m-ae3c59715d1425023fba9b40""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,factconsolidation_mh_262k_no13,13,2,2,John Lennon is famous for Gundam,12951. John Lennon is famous for Gundam.,12951,True,4,5,"[""m-d8939565b192098f7742417a""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,factconsolidation_mh_262k_no14,14,1,2,Fernando Lugo is a citizen of United Kingdom,14149. Fernando Lugo is a citizen of United Kingdom.,14149,True,2,3,"[""m-1013038271bffdb5b4d7d9a5""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,factconsolidation_mh_262k_no14,14,2,2,United Kingdom is located in the continent of Oceania,15498. United Kingdom is located in the continent of Oceania.,15498,True,5,6,"[""m-0e33301d9eea6a7743aacd1f""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,factconsolidation_mh_262k_no15,15,1,2,"The univeristy where Stewart Udall was educated is California State University, Long Beach","15285. The univeristy where Stewart Udall was educated is California State University, Long Beach.",15285,True,3,4,"[""m-25705ac9d5e8865bd0ef9821""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,factconsolidation_mh_262k_no15,15,2,2,"The headquarters of California State University, Long Beach is located in the city of Long Beach","16859. The headquarters of California State University, Long Beach is located in the city of Long Beach.",16859,True,3,4,"[""m-ac04b749be9809cc151a3f0e""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,factconsolidation_mh_262k_no16,16,1,4,International Judo Federation is associated with the sport of judo,10581. International Judo Federation is associated with the sport of judo.,10581,True,2,3,"[""m-ec21766410e0c5f0e5f7320f""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,factconsolidation_mh_262k_no16,16,2,4,judo was founded by Charles de Gaulle,15833. judo was founded by Charles de Gaulle.,15833,True,2,3,"[""m-0b1df58bb07f6d7652d8dfb1""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,factconsolidation_mh_262k_no16,16,3,4,Charles de Gaulle is a citizen of France,5520. Charles de Gaulle is a citizen of France.,5520,True,5,6,"[""m-b7d3a9321839d30b4fca32c4""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,factconsolidation_mh_262k_no16,16,4,4,France is located in the continent of Europe,7772. France is located in the continent of Europe.,7772,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,factconsolidation_mh_262k_no17,17,1,3,Duquesne University is affiliated with the religion of Methodism,17288. Duquesne University is affiliated with the religion of Methodism.,17288,True,4,5,"[""m-2c378c529470c6ac9d9129c5""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,factconsolidation_mh_262k_no17,17,2,3,Methodism was founded by John Wesley,6850. Methodism was founded by John Wesley.,6850,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,factconsolidation_mh_262k_no17,17,3,3,John Wesley was born in the city of Epworth,2049. John Wesley was born in the city of Epworth.,2049,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,factconsolidation_mh_262k_no18,18,1,4,The company that produced Ford Ranger is Ford Motor Company,16048. The company that produced Ford Ranger is Ford Motor Company.,16048,True,2,3,"[""m-0b1100aa2215e071bf08a812""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,factconsolidation_mh_262k_no18,18,2,4,Ford Motor Company was founded by Henri Grégoire,10064. Ford Motor Company was founded by Henri Grégoire.,10064,True,10,11,"[""m-1d5745d8b432a6047b4dd936""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,factconsolidation_mh_262k_no18,18,3,4,Henri Grégoire is a citizen of France,3909. Henri Grégoire is a citizen of France.,3909,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,factconsolidation_mh_262k_no18,18,4,4,The capital of France is Paris,6671. The capital of France is Paris.,6671,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,factconsolidation_mh_262k_no19,19,1,4,Peter Schmeichel plays the position of goalkeeper,4567. Peter Schmeichel plays the position of goalkeeper.,4567,True,3,4,"[""m-1206e80bff6434ab66c69ece""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,factconsolidation_mh_262k_no19,19,2,4,goalkeeper is associated with the sport of Gaelic football,8668. goalkeeper is associated with the sport of Gaelic football.,8668,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,factconsolidation_mh_262k_no19,19,3,4,Gaelic football was created in the country of Ireland,9554. Gaelic football was created in the country of Ireland.,9554,True,14,15,"[""m-8988c2999d80d11c33dcaf06""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,factconsolidation_mh_262k_no19,19,4,4,The capital of Ireland is Dublin,2640. The capital of Ireland is Dublin.,2640,True,9,10,"[""m-cbdf6a8153fd22ff0242fee9""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,factconsolidation_mh_262k_no20,20,1,3,Halifax Town A.F.C. is associated with the sport of association football,310. Halifax Town A.F.C. is associated with the sport of association football.,310,True,2,3,"[""m-9c66a5ec4a759d8795c58788""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,factconsolidation_mh_262k_no20,20,2,3,association football was created in the country of Italy,11954. association football was created in the country of Italy.,11954,True,9,10,"[""m-32937397b194ea97822b7885""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,factconsolidation_mh_262k_no20,20,3,3,The name of the current head of state in Italy is Sergio Mattarella,1595. The name of the current head of state in Italy is Sergio Mattarella.,1595,True,11,12,"[""m-9775f81addddef3bf5347951""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,factconsolidation_mh_262k_no21,21,1,2,Gustav Vigeland is a citizen of Finland,8631. Gustav Vigeland is a citizen of Finland.,8631,True,2,3,"[""m-28069cede24e19a36554223e""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,factconsolidation_mh_262k_no21,21,2,2,Finland is located in the continent of Asia,8800. Finland is located in the continent of Asia.,8800,True,2,3,"[""m-28069cede24e19a36554223e""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,factconsolidation_mh_262k_no22,22,1,3,John Beilein works in the field of association football referee,16412. John Beilein works in the field of association football referee.,16412,True,2,3,"[""m-e88cdf413fbf8a7ac37bd0fb""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,factconsolidation_mh_262k_no22,22,2,3,association football referee is associated with the sport of baseball,15784. association football referee is associated with the sport of baseball.,15784,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,factconsolidation_mh_262k_no22,22,3,3,baseball was created in the country of Japan,14700. baseball was created in the country of Japan.,14700,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,factconsolidation_mh_262k_no23,23,1,2,Lynn Margulis is married to Carl Sagan,4991. Lynn Margulis is married to Carl Sagan.,4991,True,2,3,"[""m-65ddf9819a5ecf5e4656074f""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,factconsolidation_mh_262k_no23,23,2,2,Carl Sagan is employed by British Broadcasting Corporation,3648. Carl Sagan is employed by British Broadcasting Corporation.,3648,True,4,5,"[""m-154bcacb92d86a5c9d325b00""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,factconsolidation_mh_262k_no24,24,1,2,Tina Charles plays the position of defensive back,12974. Tina Charles plays the position of defensive back.,12974,True,2,3,"[""m-d8939565b192098f7742417a""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,factconsolidation_mh_262k_no24,24,2,2,defensive back is associated with the sport of American football,48. defensive back is associated with the sport of American football.,48,True,4,5,"[""m-954c540a5962fbc7d01e18bf""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,factconsolidation_mh_262k_no25,25,1,4,Please Please Me was performed by The Beatles,7049. Please Please Me was performed by The Beatles.,7049,True,2,3,"[""m-b7dcd8cd2d91e2a0530e94f1""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,factconsolidation_mh_262k_no25,25,2,4,The director of The Beatles is Joe Hockey,13824. The director of The Beatles is Joe Hockey.,13824,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,factconsolidation_mh_262k_no25,25,3,4,Joe Hockey is a citizen of Australia,5086. Joe Hockey is a citizen of Australia.,5086,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,factconsolidation_mh_262k_no25,25,4,4,Australia is located in the continent of Oceania,2465. Australia is located in the continent of Oceania.,2465,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,factconsolidation_mh_262k_no26,26,1,2,Bianca Jagger is married to Mick Jagger,10058. Bianca Jagger is married to Mick Jagger.,10058,True,2,3,"[""m-1d5745d8b432a6047b4dd936""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no26,factconsolidation_mh_262k_no26,26,2,2,Mick Jagger was born in the city of North Charleston,4695. Mick Jagger was born in the city of North Charleston.,4695,True,2,3,"[""m-1206e80bff6434ab66c69ece""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,factconsolidation_mh_262k_no27,27,1,4,2014 World Judo Championships is associated with the sport of judo,5117. 2014 World Judo Championships is associated with the sport of judo.,5117,True,5,6,"[""m-2a33ae56e5df02e9a6e4fa1b""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,factconsolidation_mh_262k_no27,27,2,4,judo was founded by Charles de Gaulle,15833. judo was founded by Charles de Gaulle.,15833,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,factconsolidation_mh_262k_no27,27,3,4,Charles de Gaulle is a citizen of India,8404. Charles de Gaulle is a citizen of India.,8404,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,factconsolidation_mh_262k_no27,27,4,4,The capital of India is New Delhi,5269. The capital of India is New Delhi.,5269,True,5,6,"[""m-2a33ae56e5df02e9a6e4fa1b""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,factconsolidation_mh_262k_no28,28,1,2,Family Force 5 was created in the country of Japan,14971. Family Force 5 was created in the country of Japan.,14971,True,2,3,"[""m-edc48416279cf33fce68c421""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no28,factconsolidation_mh_262k_no28,28,2,2,The capital of Japan is Bondi Junction,2279. The capital of Japan is Bondi Junction.,2279,True,4,5,"[""m-a0156ee0ec6cb0be09a290e7""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,factconsolidation_mh_262k_no29,29,1,2,The author of Carmilla is Joseph Stein,14283. The author of Carmilla is Joseph Stein.,14283,True,2,3,"[""m-1013038271bffdb5b4d7d9a5""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no29,factconsolidation_mh_262k_no29,29,2,2,Joseph Stein died in the city of New York City,12063. Joseph Stein died in the city of New York City.,12063,True,4,5,"[""m-32937397b194ea97822b7885""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,factconsolidation_mh_262k_no30,30,1,2,The type of music that Dave Matthews Band plays is rock music,17419. The type of music that Dave Matthews Band plays is rock music.,17419,True,2,3,"[""m-098e8f358b290e8ba2babe14""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no30,factconsolidation_mh_262k_no30,30,2,2,rock music was created in the country of Spain,18262. rock music was created in the country of Spain.,18262,True,2,3,"[""m-e8c89d3ba3aa543273171efa""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,factconsolidation_mh_262k_no31,31,1,2,Stephen Greenblatt is employed by X Prize Foundation,3676. Stephen Greenblatt is employed by X Prize Foundation.,3676,True,2,3,"[""m-154bcacb92d86a5c9d325b00""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,factconsolidation_mh_262k_no31,31,2,2,The chairperson of X Prize Foundation is Mike Cheston,17945. The chairperson of X Prize Foundation is Mike Cheston.,17945,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,factconsolidation_mh_262k_no32,32,1,4,1 was performed by Madonna,16880. 1 was performed by Madonna.,16880,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,factconsolidation_mh_262k_no32,32,2,4,The director of Madonna is Narendra Modi,12455. The director of Madonna is Narendra Modi.,12455,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,factconsolidation_mh_262k_no32,32,3,4,Narendra Modi is a citizen of Australia,12321. Narendra Modi is a citizen of Australia.,12321,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no32,factconsolidation_mh_262k_no32,32,4,4,The official language of Australia is Arabic,17385. The official language of Australia is Arabic.,17385,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,factconsolidation_mh_262k_no33,33,1,3,The univeristy where James Michael Curley was educated is The Catholic University of America,17838. The univeristy where James Michael Curley was educated is The Catholic University of America.,17838,True,2,3,"[""m-0f10fff25f4f2295def856b4""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,factconsolidation_mh_262k_no33,33,2,3,The Catholic University of America is affiliated with the religion of Catholic Church,2995. The Catholic University of America is affiliated with the religion of Catholic Church.,2995,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,factconsolidation_mh_262k_no33,33,3,3,Catholic Church was founded by Gérard Blitz,15083. Catholic Church was founded by Gérard Blitz.,15083,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,factconsolidation_mh_262k_no34,34,1,3,Metz Cathedral is affiliated with the religion of Hasidism,5089. Metz Cathedral is affiliated with the religion of Hasidism.,5089,True,3,4,"[""m-2a33ae56e5df02e9a6e4fa1b""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,factconsolidation_mh_262k_no34,34,2,3,Hasidism was founded by Nicholas II of Russia,2949. Hasidism was founded by Nicholas II of Russia.,2949,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no34,factconsolidation_mh_262k_no34,34,3,3,Nicholas II of Russia worked in the city of London,9373. Nicholas II of Russia worked in the city of London.,9373,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,factconsolidation_mh_262k_no35,35,1,4,Sumie Sakai is associated with the sport of judo,17229. Sumie Sakai is associated with the sport of judo.,17229,True,2,3,"[""m-2c378c529470c6ac9d9129c5""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,factconsolidation_mh_262k_no35,35,2,4,judo was founded by Charles de Gaulle,15833. judo was founded by Charles de Gaulle.,15833,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,factconsolidation_mh_262k_no35,35,3,4,Charles de Gaulle is a citizen of India,8404. Charles de Gaulle is a citizen of India.,8404,True,5,6,"[""m-aff4df280c82222c41cd9dbd""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,factconsolidation_mh_262k_no35,35,4,4,The capital of India is New Delhi,5269. The capital of India is New Delhi.,5269,True,7,8,"[""m-2a33ae56e5df02e9a6e4fa1b""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,factconsolidation_mh_262k_no36,36,1,4,Back in the U.S.S.R. was performed by The Beatles,7763. Back in the U.S.S.R. was performed by The Beatles.,7763,True,3,4,"[""m-a1a4edfb7fb9ec1bee215e03""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,factconsolidation_mh_262k_no36,36,2,4,The director of The Beatles is Joe Hockey,13824. The director of The Beatles is Joe Hockey.,13824,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,factconsolidation_mh_262k_no36,36,3,4,Joe Hockey is a citizen of Australia,5086. Joe Hockey is a citizen of Australia.,5086,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,factconsolidation_mh_262k_no36,36,4,4,The capital of Australia is Canberra,316. The capital of Australia is Canberra.,316,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,factconsolidation_mh_262k_no37,37,1,2,Gabriel Narutowicz is affiliated with the religion of Catholic Church,13091. Gabriel Narutowicz is affiliated with the religion of Catholic Church.,13091,True,2,3,"[""m-f4d41a198fada7f7ebf3b81e""]",False
